Date,Open,High,Low,Close,Volume,RSI,MA20,MA50,Buy,Sell,Target
2025-04-23 00:00:00+05:30,1425.9368740316995,1467.1569507677636,1419.6256494074153,1454.4359130859375,11136642,42.85480698178702,1472.1960388183593,1626.0907299804687,0,0,0
2025-04-24 00:00:00+05:30,1449.505309419441,1462.324935726995,1441.22183449924,1450.9844970703125,7114292,42.41756757626649,1466.2225830078125,1617.6958471679689,0,0,1
2025-04-25 00:00:00+05:30,1455.0276136053067,1480.864043581714,1443.194112173071,1459.662353515625,8329979,43.965580089353686,1460.673162841797,1609.1076831054688,0,0,1
2025-04-28 00:00:00+05:30,1459.6623489459623,1468.9319491141807,1444.9691810148831,1461.5360107421875,5886253,44.31367317489092,1453.4571960449218,1600.793662109375,0,0,1
2025-04-29 00:00:00+05:30,1461.4374722845366,1488.8517996048886,1453.6470595242981,1476.722412109375,8056743,47.177888653494854,1448.4304260253907,1593.2438891601562,0,0,1
2025-04-30 00:00:00+05:30,1476.0321142425894,1487.8656155741658,1462.0290654409305,1479.2862548828125,7704183,47.66727479273639,1443.3296875,1585.8371020507811,0,0,1
2025-05-02 00:00:00+05:30,1478.8917703842976,1502.065710329334,1475.4403325201433,1485.991943359375,7402310,48.998213231190135,1440.1864135742187,1578.8109594726564,0,0,1
2025-05-05 00:00:00+05:30,1493.979559817003,1501.8685607929344,1481.9488814793483,1487.6683349609375,4282493,49.345048542441184,1439.3038330078125,1572.2108227539063,0,0,1
2025-05-06 00:00:00+05:30,1485.1043881672801,1494.571164972708,1478.3001009589232,1490.528076171875,4270530,49.97008254273972,1437.39814453125,1565.4085302734375,0,0,0
2025-05-07 00:00:00+05:30,1479.1876719914237,1497.72687229769,1475.8348225262564,1487.37255859375,5691799,49.2479802625562,1437.979962158203,1558.8212158203125,0,0,1
2025-05-08 00:00:00+05:30,1487.0767158676624,1495.4587795844232,1480.371016743612,1490.4295654296875,8424409,50.00177606777135,1440.9260131835938,1552.1047192382812,0,0,0
2025-05-09 00:00:00+05:30,1479.8779633712215,1490.429574694462,1473.3695614613061,1486.6822509765625,4478653,49.04024910882745,1446.3916137695312,1546.1248559570313,0,0,1
2025-05-12 00:00:00+05:30,1515.6743515413355,1609.356240543565,1510.743725804376,1604.3270263671875,11372857,69.11810034797395,1456.1591857910157,1542.2148706054688,0,0,0
2025-05-13 00:00:00+05:30,1586.675293741908,1589.8308459268644,1542.8913150101926,1546.8358154296875,12846210,57.247788129288324,1464.2897888183593,1537.3552465820312,0,0,1
2025-05-14 00:00:00+05:30,1552.1609377918994,1572.8695652973822,1547.7233747550104,1570.3056640625,4870057,60.249098100994765,1473.310369873047,1533.9688940429687,0,0,1
2025-05-15 00:00:00+05:30,1567.7416973152629,1596.1420273386075,1549.2024976963296,1590.6197509765625,11151167,62.690521708091985,1482.5306396484375,1530.917822265625,0,0,0
2025-05-16 00:00:00+05:30,1590.2253238143162,1590.2253238143162,1559.5568570553514,1567.84033203125,4576751,58.3618446886563,1491.2479858398438,1527.4782177734376,0,0,0
2025-05-19 00:00:00+05:30,1554.62619978804,1563.0082630282545,1534.1147498260523,1538.157958984375,8855798,53.20648980018057,1498.1656555175782,1524.9557104492187,0,0,1
2025-05-20 00:00:00+05:30,1548.2163771805324,1561.529065774123,1536.382876208452,1538.94677734375,7143998,53.324489718169936,1503.5696166992188,1522.0367797851563,0,0,1
2025-05-21 00:00:00+05:30,1546.145531646558,1549.2024953086398,1530.564707285941,1546.7371826171875,4157309,54.543643328701954,1510.7535339355468,1519.6740209960938,0,0,0
